1 | 101 | 102 | 200.0 | 2025-05-16 21:54:10 | Confirmada
2 | 105 | 110 | 1000.0 | 2025-05-20 18:48:48 | Confirmada
3 | 101 | 102 | 500.0 | 2025-05-20 22:36:55 | Confirmada
4 | 104 | 108 | 50.0 | 2025-05-20 22:38:28 | Confirmada
5 | 101 | 104 | 50.0 | 2025-05-21 20:55:29 | Confirmada
6 | 106 | 105 | 132.0 | 2025-05-21 21:34:26 | Confirmada
6 | 108 | 103 | 84.0 | 2025-05-21 21:34:26 | Confirmada
6 | 107 | 109 | 170.0 | 2025-05-21 21:34:26 | Confirmada
6 | 107 | 106 | 79.0 | 2025-05-21 21:34:26 | Confirmada
10 | 102 | 109 | 171.0 | 2025-05-21 21:34:27 | Confirmada
11 | 103 | 107 | 168.0 | 2025-05-21 21:34:27 | Confirmada
12 | 101 | 106 | 153.0 | 2025-05-21 21:34:27 | Confirmada
13 | 109 | 105 | 124.0 | 2025-05-21 21:34:27 | Confirmada
14 | 104 | 106 | 108.0 | 2025-05-21 21:34:27 | Confirmada
15 | 109 | 105 | 57.0 | 2025-05-21 21:34:28 | Confirmada
16 | 109 | 107 | 151.0 | 2025-05-21 21:34:28 | Confirmada
17 | 104 | 109 | 125.0 | 2025-05-21 21:34:28 | Confirmada
18 | 103 | 104 | 113.0 | 2025-05-21 21:34:29 | Confirmada
19 | 104 | 105 | 130.0 | 2025-05-21 21:34:29 | Confirmada
20 | 101 | 107 | 211.0 | 2025-05-21 21:34:29 | Confirmada
21 | 109 | 102 | 162.0 | 2025-05-21 21:34:29 | Confirmada
22 | 102 | 101 | 193.0 | 2025-05-21 21:34:29 | Confirmada
23 | 109 | 103 | 231.0 | 2025-05-21 21:34:29 | Confirmada
24 | 102 | 104 | 111.0 | 2025-05-21 21:34:30 | Confirmada
25 | 107 | 105 | 151.0 | 2025-05-21 21:38:57 | Confirmada
25 | 101 | 101 | 215.0 | 2025-05-21 21:38:57 | Confirmada
25 | 101 | 103 | 79.0 | 2025-05-21 21:38:57 | Confirmada
28 | 107 | 107 | 220.0 | 2025-05-21 21:38:58 | Confirmada
29 | 105 | 103 | 196.0 | 2025-05-21 21:38:58 | Confirmada
30 | 104 | 107 | 68.0 | 2025-05-21 21:38:58 | Confirmada
31 | 104 | 108 | 219.0 | 2025-05-21 21:38:58 | Confirmada
32 | 103 | 102 | 53.0 | 2025-05-21 21:38:58 | Confirmada
33 | 105 | 106 | 185.0 | 2025-05-21 21:38:58 | Confirmada
34 | 104 | 103 | 166.0 | 2025-05-21 21:38:59 | Confirmada
35 | 101 | 101 | 137.0 | 2025-05-21 21:38:59 | Confirmada
36 | 109 | 104 | 164.0 | 2025-05-21 21:39:00 | Confirmada
37 | 106 | 108 | 104.0 | 2025-05-21 21:39:00 | Confirmada
38 | 101 | 101 | 50.0 | 2025-05-21 21:39:00 | Confirmada
39 | 104 | 106 | 75.0 | 2025-05-21 21:50:21 | Confirmada
39 | 105 | 109 | 234.0 | 2025-05-21 21:50:21 | Confirmada
39 | 102 | 107 | 172.0 | 2025-05-21 21:50:21 | Confirmada
39 | 103 | 106 | 161.0 | 2025-05-21 21:50:21 | Confirmada
43 | 104 | 109 | 85.0 | 2025-05-21 21:50:22 | Confirmada
44 | 103 | 108 | 177.0 | 2025-05-21 21:50:22 | Confirmada
45 | 103 | 103 | 218.0 | 2025-05-21 21:50:22 | Confirmada
46 | 104 | 106 | 218.0 | 2025-05-21 21:50:22 | Confirmada
47 | 108 | 102 | 137.0 | 2025-05-21 21:50:22 | Confirmada
48 | 109 | 104 | 190.0 | 2025-05-21 21:50:23 | Confirmada
